,count,distance,region,service,group,time,colors,bins
0,338121.0,0.0,All,EM_hubs,population,0,#79D151,0-2
1,39864.0,2.0,All,EM_hubs,population,0,#22A784,2-4
2,3546.0,4.0,All,EM_hubs,population,0,#29788E,4-6
3,1605.0,6.0,All,EM_hubs,population,0,#404387,6-8
4,708.0,8.0,All,EM_hubs,population,0,#440154,8+
5,0.0,,All,EM_hubs,population,0,black,isolated
0,22848.0,0.0,Kapiti Coast,EM_hubs,population,0,#79D151,0-2
1,11868.0,2.0,Kapiti Coast,EM_hubs,population,0,#22A784,2-4
2,3000.0,4.0,Kapiti Coast,EM_hubs,population,0,#29788E,4-6
3,1515.0,6.0,Kapiti Coast,EM_hubs,population,0,#404387,6-8
4,708.0,8.0,Kapiti Coast,EM_hubs,population,0,#440154,8+
5,0.0,,Kapiti Coast,EM_hubs,population,0,black,isolated
0,3387.0,0.0,Levin,EM_hubs,population,0,#79D151,0-2
1,2148.0,2.0,Levin,EM_hubs,population,0,#22A784,2-4
2,0.0,4.0,Levin,EM_hubs,population,0,#29788E,4-6
3,0.0,6.0,Levin,EM_hubs,population,0,#404387,6-8
4,0.0,8.0,Levin,EM_hubs,population,0,#440154,8+
5,0.0,,Levin,EM_hubs,population,0,black,isolated
0,13362.0,0.0,Miramar,EM_hubs,population,0,#79D151,0-2
1,981.0,2.0,Miramar,EM_hubs,population,0,#22A784,2-4
2,0.0,4.0,Miramar,EM_hubs,population,0,#29788E,4-6
3,0.0,6.0,Miramar,EM_hubs,population,0,#404387,6-8
4,0.0,8.0,Miramar,EM_hubs,population,0,#440154,8+
5,0.0,,Miramar,EM_hubs,population,0,black,isolated
0,38064.0,0.0,Upper Hutt,EM_hubs,population,0,#79D151,0-2
1,3375.0,2.0,Upper Hutt,EM_hubs,population,0,#22A784,2-4
2,348.0,4.0,Upper Hutt,EM_hubs,population,0,#29788E,4-6
3,0.0,6.0,Upper Hutt,EM_hubs,population,0,#404387,6-8
4,0.0,8.0,Upper Hutt,EM_hubs,population,0,#440154,8+
5,0.0,,Upper Hutt,EM_hubs,population,0,black,isolated
0,17685.0,0.0,Wainuiomata,EM_hubs,population,0,#79D151,0-2
1,0.0,2.0,Wainuiomata,EM_hubs,population,0,#22A784,2-4
2,0.0,4.0,Wainuiomata,EM_hubs,population,0,#29788E,4-6
3,0.0,6.0,Wainuiomata,EM_hubs,population,0,#404387,6-8
4,0.0,8.0,Wainuiomata,EM_hubs,population,0,#440154,8+
5,0.0,,Wainuiomata,EM_hubs,population,0,black,isolated
0,23799.0,0.0,Wellington RORO & CBD,EM_hubs,population,0,#79D151,0-2
1,0.0,2.0,Wellington RORO & CBD,EM_hubs,population,0,#22A784,2-4
2,0.0,4.0,Wellington RORO & CBD,EM_hubs,population,0,#29788E,4-6
3,0.0,6.0,Wellington RORO & CBD,EM_hubs,population,0,#404387,6-8
4,0.0,8.0,Wellington RORO & CBD,EM_hubs,population,0,#440154,8+
5,0.0,,Wellington RORO & CBD,EM_hubs,population,0,black,isolated
0,3141.0,0.0,Porirua North,EM_hubs,population,0,#79D151,0-2
1,1272.0,2.0,Porirua North,EM_hubs,population,0,#22A784,2-4
2,0.0,4.0,Porirua North,EM_hubs,population,0,#29788E,4-6
3,0.0,6.0,Porirua North,EM_hubs,population,0,#404387,6-8
4,0.0,8.0,Porirua North,EM_hubs,population,0,#440154,8+
5,0.0,,Porirua North,EM_hubs,population,0,black,isolated
0,5424.0,0.0,Titahi Bay,EM_hubs,population,0,#79D151,0-2
1,0.0,2.0,Titahi Bay,EM_hubs,population,0,#22A784,2-4
2,0.0,4.0,Titahi Bay,EM_hubs,population,0,#29788E,4-6
3,0.0,6.0,Titahi Bay,EM_hubs,population,0,#404387,6-8
4,0.0,8.0,Titahi Bay,EM_hubs,population,0,#440154,8+
5,0.0,,Titahi Bay,EM_hubs,population,0,black,isolated
0,26619.0,0.0,Porirua East,EM_hubs,population,0,#79D151,0-2
1,8259.0,2.0,Porirua East,EM_hubs,population,0,#22A784,2-4
2,0.0,4.0,Porirua East,EM_hubs,population,0,#29788E,4-6
3,0.0,6.0,Porirua East,EM_hubs,population,0,#404387,6-8
4,0.0,8.0,Porirua East,EM_hubs,population,0,#440154,8+
5,0.0,,Porirua East,EM_hubs,population,0,black,isolated
0,0.0,0.0,Porirua CBD,EM_hubs,population,0,#79D151,0-2
1,2337.0,2.0,Porirua CBD,EM_hubs,population,0,#22A784,2-4
2,0.0,4.0,Porirua CBD,EM_hubs,population,0,#29788E,4-6
3,0.0,6.0,Porirua CBD,EM_hubs,population,0,#404387,6-8
4,0.0,8.0,Porirua CBD,EM_hubs,population,0,#440154,8+
5,0.0,,Porirua CBD,EM_hubs,population,0,black,isolated
0,5847.0,0.0,Petone,EM_hubs,population,0,#79D151,0-2
1,0.0,2.0,Petone,EM_hubs,population,0,#22A784,2-4
2,0.0,4.0,Petone,EM_hubs,population,0,#29788E,4-6
3,0.0,6.0,Petone,EM_hubs,population,0,#404387,6-8
4,0.0,8.0,Petone,EM_hubs,population,0,#440154,8+
5,0.0,,Petone,EM_hubs,population,0,black,isolated
0,44340.0,0.0,Lower Hutt,EM_hubs,population,0,#79D151,0-2
1,267.0,2.0,Lower Hutt,EM_hubs,population,0,#22A784,2-4
2,0.0,4.0,Lower Hutt,EM_hubs,population,0,#29788E,4-6
3,0.0,6.0,Lower Hutt,EM_hubs,population,0,#404387,6-8
4,0.0,8.0,Lower Hutt,EM_hubs,population,0,#440154,8+
5,0.0,,Lower Hutt,EM_hubs,population,0,black,isolated
0,5700.0,0.0,Western Hutt Hills,EM_hubs,population,0,#79D151,0-2
1,723.0,2.0,Western Hutt Hills,EM_hubs,population,0,#22A784,2-4
