dest_type,lat,lon,label,address,1,2,3,4,5,nearest_priority_road,dist_to_priority_road,suburb_resupply_day,comments
supermarket,-41.30427856,174.7941162,Four Square Hataitai,"1 Moxham Ave, Hataitai, Wellington, 6021, NZL",3,3,1,1,1,1,200,10,Close to a priority 2 road. Road vulnerability mapping indicates that access via Constable St/Wellington Rd should be available by day 15. 
supermarket,-41.11027207,175.082087,Four Square Totara Park,"1 Turon Cres, Totara Park, Upper Hutt, 5018, NZL",3,3,3,2,1,3,200,10/90,Close to a priority 3 road. Hutt Valley access is weather dependant until 'day 90'.
supermarket,-41.2900718,174.8972291,Four Square Eastbourne,"10 Oroua St, Eastbourne, Lower Hutt, 5013, NZL",3,3,3,3,1,2,2000,90,
supermarket,-41.115265,175.1022182,Four Square Hutt,"103 ARO STREET, EBDENTOWN, UPPER HUTT",3,2,2,2,1,1,300,10/90,
supermarket,-41.08049745,175.4588409,Fresh Choice Greytown,"12 Hastwell St, Greytown, 5712, NZL",3,3,3,1,1,1,50,21,
supermarket,-41.1320795,174.8413607,Pak'N Save Porirua,"12 Parumoana St, Porirua City Centre, Porirua, 5022, NZL",3,1,1,1,1,1,200,7,Road vulnerability mapping indicates that access to the prioity 1 road should be good. 
supermarket,-41.254398,174.7661332,Countdown Churchill Drive,"Churchill Dr & Silverstream Rd, Crofton Downs, Wellington, 6035, NZL",3,1,1,1,1,1,0,7,Close to a priority 1 road.
supermarket,-40.90572476,174.9972301,Four Square Kapiti,"128 Kapiti Rd, Paraparaumu, 5032, NZL",3,1,1,1,1,1,100,7,Close to a priority 1 road.
supermarket,-41.21437366,174.9224917,Four Square Waterloo,"13 Hardy St, Waterloo, Lower Hutt, 5011, NZL",3,3,2,2,1,1,200,10/90,Close to a priority 1 road. Road vulnerability mapping indicates that road access to the priority 1 road should be good. 
supermarket,-41.1083702,174.8383205,Four Square Titahi Bay,"13 Whitehouse Rd, Titahi Bay, Porirua, 5022, NZL",3,1,1,1,1,2,0,7,Close to a priority 2 road.
supermarket,-41.12309062,175.0715947,Countdown Upper Hutt,"19 Queen St, Upper Hutt, 5018, NZL",3,2,2,2,1,1,300,10/90,Close to a priority 1 road. Road vulnerability mapping indicates that road access to the priority 1 road should be good. 
supermarket,-41.28238293,174.7458951,Four Square Karori,"147 Karori Rd, Karori, Wellington, 6012, NZL",3,3,1,1,1,3,0,13,Close to a priority 3 road.
supermarket,-40.75302713,175.1403444,New World Otaki,"163 Main St, Otaki, 5512, NZL",3,1,1,1,1,2,0,7,Close to priority 2 road.
supermarket,-40.90482785,174.9961658,New World Kapiti,"159 Kapiti Rd, Paraparaumu, 5032, NZL",3,1,1,1,1,1,100,7,Close to a priority 1 road.
supermarket,-40.89372911,174.9809878,Four Square Thriftway,"16 Seaview Rd, Paraparaumu Beach, Paraparaumu, 5032, NZL",3,1,1,1,1,2,300,7,Close to a priority 2 road. Road vulnerability mapping indicates that road access to the priority 2 road should be good. 
supermarket,-41.30761432,174.7777352,Countdown Newtown,"176 Adelaide Rd, Newtown, Wellington, 6021, NZL",3,3,1,1,1,1,100,14,Close to a priority 1 road.
supermarket,-41.1390747,174.8500709,Four Square Eastside Foodmarket,"18 Mungavin Ave, Ranui, Porirua, 5024, NZL",3,1,1,1,1,1,0,7,Close to a priority 1 road.
supermarket,-41.17974777,174.9593396,Four Square Taita,"18 Taine St, Taita, Lower Hutt, 5011, NZL",3,2,2,2,1,1,100,10/90,Close to a priority 1 road.
supermarket,-41.3144754,174.7801022,New World Newtown,"195 Riddiford St, Newtown, Wellington, 6021, NZL",3,3,1,1,1,1,100,14,Close to a priority 1 road.
supermarket,-41.27925336,174.7788568,New World Railway Metro,"Bunny St, Pipitea, Wellington, 6011, NZL",3,3,1,1,1,1,100,14,Close to a priority 1 road.
supermarket,-40.96210316,175.6246986,Four Square Solway,"218 High St, Solway, Masterton, 5810, NZL",3,3,3,1,1,1,0,21,
supermarket,-41.22350928,174.8236151,New World Newlands,"227 Newlands Rd, Newlands, Wellington, 6037, NZL",3,3,3,1,1,3,0,7,Close to a priority 3 road.
supermarket,-41.28447021,174.7382412,Countdown Karori,"236 Karori Rd, Karori, Wellington, 6012, NZL",3,3,1,1,1,3,0,13,Close to a priority 3 road.
supermarket,-41.28447021,174.7382412,New World Karori,"236 Karori Rd, Karori, Wellington, 6012, NZL",3,3,1,1,1,3,0,13,Close to a priority 3 road.
supermarket,-41.24744591,174.7916963,New World Khandallah,"26 Ganges Rd, Khandallah, Wellington, 6035, NZL",3,1,1,1,1,1,300,7,Close to a priority 1 road. Road vulnerability mapping indicates that road access to the priority 1 road should be good. 
supermarket,-41.20798018,174.9053259,Countdown Lower Hutt,"261 High St, Hutt Central, Lower Hutt, 5010, NZL",3,3,3,2,1,2,300,10/90,Close to a priority 2 road. Hutt Valley access is weather dependent until 'day 90'.
supermarket,-41.21957479,175.4580233,Four Square Jellicoe Street,"27 Jellicoe St, Martinborough, 5711, NZL",3,3,3,1,1,,,,
supermarket,-40.9521996,175.6579909,Countdown Masterton,"271 Queen St, Masterton, 5810, NZL",3,3,3,1,1,1,200,21,
supermarket,-41.29296588,174.7841214,New World Wellington City,"279 Wakefield St, Te Aro, Wellington, 6011, NZL",3,3,1,1,1,1,0,14,Close to a priority 1 road.
supermarket,-40.86121254,175.0246524,Four Square Waikanae Beach,"28 Tutere St, Waikanae Beach, Waikanae, 5036, NZL",3,3,1,1,1,2,500,7,"Although distant from a priority 2 route, road vulnerability mapping shows that one lane should be available on the priority 2 route. Assuming the road damage to be similar on the local roads, assume that access is possible by 'day 15'."
supermarket,-41.14842839,175.012606,New World Silverstream,"28 Whitemans Rd, Silverstream, Upper Hutt, 5019, NZL",3,3,2,2,1,2,50,10/90,Close to a priority 2 road. Hutt Valley access is weather dependant until 'day 90'.
supermarket,-41.284386,174.7753799,Countdown Cable Car Lane,"284 Lambton Quay, Wellington Central, Wellington, 6011, NZL",3,3,3,3,1,1,150,10,"Although close to a Priority 1 road, this supermarket is located within an area of multi-storey buildings. This lowers the likelihood of unimpeded access post-earthquake event."
supermarket,-41.18562436,174.8274002,Countdown Tawa,"3 Main Rd, Tawa, Wellington, 5028, NZL",3,1,1,1,1,1,100,7,Close to a priority 1 road.
supermarket,-41.12107485,174.8672412,Countdown Aotea,"3 Whitford Brown Ave, Ascot Park, Porirua, 5024, NZL",3,1,1,1,1,2,50,7,Close to a priority 2 road.  
supermarket,-41.19876541,174.9473569,Four Square Naenae,"30 Hillary Ct, Naenae, Lower Hutt, 5011, NZL",3,3,3,2,1,3,500,10/90,"Road vulnerability mapping shows roads in the area are likely to be less impacted, so once access to the priority 3 road is achieved, access to the supermarket is likely to be relatively soon after. Hutt Valley access is weather dependent until 'day 90'."
supermarket,-40.93643201,174.9773853,Four Square Raumati South,"30 Poplar Ave, Raumati South, Paraparaumu, 5032, NZL",3,1,1,1,1,1,1000,7,Road vulnerability mapping shows single lane access to a priority 1 road. 
