,geoid,dest_type,distance,time
0,7018882,EM_hubs,107255,0
1,7018907,EM_hubs,11584,0
2,7018908,EM_hubs,51024,0
3,7018993,EM_hubs,7592,0
4,7018994,EM_hubs,13907,0
5,7019000,EM_hubs,9003,0
6,7019125,EM_hubs,10137,0
7,7019126,EM_hubs,10242,0
8,7019127,EM_hubs,10073,0
9,7019128,EM_hubs,8284,0
10,7019129,EM_hubs,10883,0
11,7019139,EM_hubs,2788,0
12,7019140,EM_hubs,2718,0
13,7020225,EM_hubs,718,0
14,7019130,EM_hubs,2655,0
15,7019131,EM_hubs,3020,0
16,7019133,EM_hubs,8658,0
17,7019134,EM_hubs,7929,0
18,7019135,EM_hubs,8585,0
19,7019136,EM_hubs,3316,0
20,7019137,EM_hubs,3052,0
21,7019138,EM_hubs,2904,0
22,7019141,EM_hubs,2522,0
23,7019142,EM_hubs,2409,0
24,7019143,EM_hubs,2166,0
25,7019144,EM_hubs,1931,0
26,7019145,EM_hubs,2213,0
27,7019146,EM_hubs,2152,0
28,7019147,EM_hubs,708,0
29,7019151,EM_hubs,414,0
30,7019152,EM_hubs,817,0
31,7019153,EM_hubs,1007,0
32,7019168,EM_hubs,1186,0
33,7019169,EM_hubs,1640,0
34,7019148,EM_hubs,1770,0
35,7019149,EM_hubs,489,0
36,7019150,EM_hubs,842,0
37,7019154,EM_hubs,1425,0
38,7019155,EM_hubs,3990,0
39,7019156,EM_hubs,3518,0
40,7019157,EM_hubs,1128,0
41,7019158,EM_hubs,493,0
42,7019159,EM_hubs,101,0
43,7019160,EM_hubs,1311,0
44,7019161,EM_hubs,603,0
45,7019162,EM_hubs,358,0
46,7019163,EM_hubs,496,0
47,7019164,EM_hubs,880,0
48,7019165,EM_hubs,590,0
49,7019166,EM_hubs,886,0
50,7019167,EM_hubs,1364,0
51,7019170,EM_hubs,1434,0
52,7019171,EM_hubs,1588,0
53,7019172,EM_hubs,1900,0
54,7019173,EM_hubs,2922,0
55,7019174,EM_hubs,1495,0
56,7019175,EM_hubs,1542,0
57,7019176,EM_hubs,1844,0
58,7019177,EM_hubs,2449,0
59,7019178,EM_hubs,3386,0
60,7019179,EM_hubs,2785,0
61,7019180,EM_hubs,2282,0
62,7019181,EM_hubs,3201,0
63,7019182,EM_hubs,3359,0
64,7019183,EM_hubs,3472,0
65,7019184,EM_hubs,3388,0
66,7019185,EM_hubs,3391,0
67,7019186,EM_hubs,6487,0
68,7019187,EM_hubs,4874,0
69,7019188,EM_hubs,4392,0
70,7019189,EM_hubs,10126,0
71,7020226,EM_hubs,710,0
72,7019194,EM_hubs,6023,0
73,7019195,EM_hubs,6073,0
74,7019196,EM_hubs,4804,0
75,7019197,EM_hubs,5416,0
76,7019198,EM_hubs,5848,0
77,7019199,EM_hubs,4924,0
78,7019200,EM_hubs,5970,0
79,7019201,EM_hubs,5526,0
80,7019202,EM_hubs,5654,0
81,7019203,EM_hubs,5826,0
82,7019241,EM_hubs,1431,0
83,7019204,EM_hubs,5534,0
84,7019205,EM_hubs,5788,0
85,7019206,EM_hubs,5984,0
86,7019207,EM_hubs,6103,0
87,7019212,EM_hubs,5320,0
88,7019213,EM_hubs,4808,0
89,7019214,EM_hubs,5207,0
90,7019215,EM_hubs,4754,0
91,7019216,EM_hubs,5274,0
92,7019217,EM_hubs,5237,0
93,7019227,EM_hubs,2885,0
94,7019208,EM_hubs,8194,0
95,7019209,EM_hubs,6058,0
96,7019210,EM_hubs,3352,0
97,7019211,EM_hubs,5553,0
98,7022167,supermarket,647,0
99,7019218,EM_hubs,6245,0
100,7019219,EM_hubs,3780,0
101,7019220,EM_hubs,4388,0
102,7019221,EM_hubs,2944,0
103,7019222,EM_hubs,2850,0
104,7019223,EM_hubs,2688,0
105,7019224,EM_hubs,2736,0
106,7019225,EM_hubs,2346,0
107,7019226,EM_hubs,2365,0
108,7019962,EM_hubs,296,0
109,7019228,EM_hubs,6677,0
110,7019229,EM_hubs,6169,0
111,7019230,EM_hubs,6041,0
112,7019231,EM_hubs,4403,0
113,7019232,EM_hubs,4652,0
114,7019236,EM_hubs,2157,0
115,7019237,EM_hubs,3016,0
116,7019238,EM_hubs,2096,0
117,7019239,EM_hubs,1805,0
118,7019233,EM_hubs,8010,0
119,7019234,EM_hubs,8406,0
120,7019235,EM_hubs,4129,0
121,7019240,EM_hubs,1788,0
122,7019242,EM_hubs,1426,0
123,7019243,EM_hubs,1100,0
124,7019244,EM_hubs,853,0
125,7019245,EM_hubs,1348,0
126,7019246,EM_hubs,1443,0
127,7019247,EM_hubs,1509,0
128,7019248,EM_hubs,6407,0
129,7019249,EM_hubs,2107,0
130,7019250,EM_hubs,2065,0
131,7019251,EM_hubs,1854,0
132,7019252,EM_hubs,1868,0
133,7019253,EM_hubs,1516,0
134,7019254,EM_hubs,1674,0
135,7019255,EM_hubs,1345,0
136,7019256,EM_hubs,1343,0
137,7019257,EM_hubs,1315,0
138,7020227,EM_hubs,894,0
139,7019258,EM_hubs,1298,0
140,7019259,EM_hubs,1418,0
141,7019260,EM_hubs,806,0
142,7019261,EM_hubs,1249,0
143,7019262,EM_hubs,888,0
144,7019263,EM_hubs,691,0
145,7019264,EM_hubs,346,0
146,7019265,EM_hubs,342,0
147,7019266,EM_hubs,2793,0
148,7019267,EM_hubs,6440,0
149,7019283,EM_hubs,2953,0
150,7020228,EM_hubs,932,0
151,7019268,EM_hubs,7420,0
152,7019269,EM_hubs,3086,0
153,7019270,EM_hubs,1516,0
154,7019271,EM_hubs,1542,0
155,7019272,EM_hubs,1750,0
156,7019273,EM_hubs,1123,0
157,7019274,EM_hubs,1584,0
158,7019275,EM_hubs,1387,0
159,7019276,EM_hubs,1227,0
160,7019277,EM_hubs,1189,0
161,7019278,EM_hubs,675,0
162,7019279,EM_hubs,1513,0
163,7019280,EM_hubs,990,0
164,7019281,EM_hubs,2127,0
165,7019282,EM_hubs,2198,0
166,7020229,EM_hubs,850,0
167,7022188,supermarket,19357,0
168,7019284,EM_hubs,1340,0
169,7019285,EM_hubs,7735,0
170,7019308,EM_hubs,1546,0
171,7019286,EM_hubs,5581,0
172,7019287,EM_hubs,7284,0
173,7019289,EM_hubs,3764,0
174,7019290,EM_hubs,2323,0
175,7019291,EM_hubs,5462,0
176,7019357,EM_hubs,1544,0
177,7019288,EM_hubs,9740,0
178,7020230,EM_hubs,765,0
179,7019292,EM_hubs,8183,0
180,7019300,EM_hubs,2522,0
181,7019301,EM_hubs,2628,0
182,7019302,EM_hubs,2219,0
183,7019303,EM_hubs,2000,0
184,7019304,EM_hubs,1706,0
185,7019305,EM_hubs,1573,0
186,7019306,EM_hubs,1514,0
187,7020231,EM_hubs,765,0
188,7019293,EM_hubs,12670,0
189,7019294,EM_hubs,990,0
190,7019295,EM_hubs,930,0
191,7019296,EM_hubs,1245,0
192,7019297,EM_hubs,1393,0
193,7019298,EM_hubs,1810,0
194,7019299,EM_hubs,1824,0
195,7019307,EM_hubs,1376,0
196,7019309,EM_hubs,910,0
197,7019310,EM_hubs,1377,0
198,7019311,EM_hubs,1479,0
199,7019312,EM_hubs,1846,0
200,7019313,EM_hubs,1872,0
201,7019314,EM_hubs,2122,0
202,7019315,EM_hubs,1060,0
203,7019317,EM_hubs,1747,0
204,7019318,EM_hubs,1652,0
205,7019319,EM_hubs,1556,0
206,7019320,EM_hubs,1967,0
207,7019321,EM_hubs,1485,0
208,7019322,EM_hubs,1354,0
209,7019323,EM_hubs,1607,0
210,7019324,EM_hubs,1003,0
211,7019325,EM_hubs,906,0
212,7020232,EM_hubs,846,0
213,7022189,supermarket,18722,0
214,7019326,EM_hubs,720,0
215,7019327,EM_hubs,772,0
216,7019328,EM_hubs,906,0
217,7019329,EM_hubs,1040,0
218,7019330,EM_hubs,564,0
219,7019331,EM_hubs,216,0
220,7019332,EM_hubs,693,0
221,7019333,EM_hubs,701,0
222,7019334,EM_hubs,665,0
223,7019335,EM_hubs,1074,0
224,7019336,EM_hubs,960,0
225,7019337,EM_hubs,891,0
226,7019338,EM_hubs,513,0
227,7019369,EM_hubs,3047,0
228,7019339,EM_hubs,841,0
229,7019340,EM_hubs,880,0
230,7019341,EM_hubs,1114,0
231,7019342,EM_hubs,1341,0
232,7019343,EM_hubs,1023,0
233,7019344,EM_hubs,542,0
234,7019345,EM_hubs,451,0
235,7019346,EM_hubs,906,0
236,7019347,EM_hubs,434,0
237,7019348,EM_hubs,556,0
238,7019349,EM_hubs,780,0
239,7019350,EM_hubs,547,0
240,7019351,EM_hubs,1181,0
241,7019352,EM_hubs,644,0
242,7019353,EM_hubs,754,0
243,7019354,EM_hubs,600,0
244,7019355,EM_hubs,102,0
245,7019356,EM_hubs,653,0
246,7022190,supermarket,31317,0
247,7019358,EM_hubs,894,0
248,7019359,EM_hubs,2012,0
249,7019360,EM_hubs,3489,0
250,7019361,EM_hubs,3682,0
251,7019362,EM_hubs,3696,0
252,7019363,EM_hubs,3682,0
253,7019364,EM_hubs,3198,0
254,7019365,EM_hubs,2916,0
255,7019366,EM_hubs,3259,0
256,7019367,EM_hubs,3234,0
257,7019368,EM_hubs,2929,0
258,7020016,EM_hubs,548,0
259,7019370,EM_hubs,2942,0
260,7019371,EM_hubs,3056,0
261,7019372,EM_hubs,2851,0
262,7019373,EM_hubs,2994,0
263,7019374,EM_hubs,2735,0
264,7019375,EM_hubs,2476,0
265,7019376,EM_hubs,2464,0
266,7019377,EM_hubs,2688,0
267,7019378,EM_hubs,2408,0
268,7019379,EM_hubs,2160,0
269,7019380,EM_hubs,2834,0
270,7019381,EM_hubs,2044,0
271,7019382,EM_hubs,853,0
272,7019383,EM_hubs,250,0
273,7019384,EM_hubs,656,0
274,7019385,EM_hubs,780,0
275,7019386,EM_hubs,561,0
276,7019387,EM_hubs,442,0
277,7019388,EM_hubs,1943,0
278,7019389,EM_hubs,1845,0
279,7019390,EM_hubs,1953,0
280,7019391,EM_hubs,1660,0
281,7020233,EM_hubs,1011,0
282,7019392,EM_hubs,1906,0
283,7019393,EM_hubs,1757,0
284,7019394,EM_hubs,2006,0
285,7019395,EM_hubs,1856,0
286,7019396,EM_hubs,1124,0
287,7019397,EM_hubs,1442,0
288,7019398,EM_hubs,855,0
289,7019399,EM_hubs,1157,0
290,7019400,EM_hubs,1262,0
291,7019401,EM_hubs,776,0
292,7019402,EM_hubs,1884,0
293,7019403,EM_hubs,1476,0
294,7019404,EM_hubs,1971,0
295,7019420,EM_hubs,4431,0
296,7020017,EM_hubs,635,0
297,7019405,EM_hubs,2046,0
298,7019406,EM_hubs,1052,0
299,7019407,EM_hubs,2280,0
300,7019408,EM_hubs,1202,0
301,7019409,EM_hubs,1592,0
302,7019410,EM_hubs,1148,0
303,7019411,EM_hubs,1238,0
304,7019412,EM_hubs,1165,0
305,7019413,EM_hubs,993,0
306,7019414,EM_hubs,1377,0
307,7019415,EM_hubs,2923,0
308,7019416,EM_hubs,1409,0
309,7019417,EM_hubs,1358,0
310,7019418,EM_hubs,1023,0
311,7019419,EM_hubs,2364,0
312,7022191,supermarket,28408,0
313,7019421,EM_hubs,4442,0
314,7019422,EM_hubs,3721,0
315,7019423,EM_hubs,3895,0
316,7019424,EM_hubs,3933,0
317,7019425,EM_hubs,3251,0
318,7019426,EM_hubs,3114,0
319,7019427,EM_hubs,3531,0
320,7019428,EM_hubs,3030,0
321,7019429,EM_hubs,2818,0
322,7019430,EM_hubs,2740,0
323,7019431,EM_hubs,2543,0
324,7019432,EM_hubs,2853,0
325,7020546,EM_hubs,759,0
326,7019433,EM_hubs,2876,0
327,7019434,EM_hubs,2642,0
328,7019435,EM_hubs,2772,0
329,7019436,EM_hubs,2682,0
330,7019437,EM_hubs,2979,0
331,7019438,EM_hubs,2695,0
332,7019439,EM_hubs,2228,0
333,7019440,EM_hubs,1155,0
334,7019441,EM_hubs,1287,0
335,7019442,EM_hubs,1778,0
336,7019443,EM_hubs,1235,0
337,7019444,EM_hubs,1464,0
338,7019445,EM_hubs,1311,0
339,7019446,EM_hubs,1566,0
340,7019447,EM_hubs,1713,0
341,7020779,EM_hubs,1138,0
342,7019448,EM_hubs,1200,0
343,7019449,EM_hubs,1644,0
344,7019450,EM_hubs,2308,0
345,7019451,EM_hubs,1312,0
346,7019452,EM_hubs,2012,0
347,7019453,EM_hubs,1106,0
348,7019454,EM_hubs,1449,0
349,7019455,EM_hubs,899,0
350,7019456,EM_hubs,1141,0
351,7019457,EM_hubs,1292,0
352,7019458,EM_hubs,906,0
353,7019459,EM_hubs,525,0
354,7019460,EM_hubs,675,0
355,7019461,EM_hubs,757,0
356,7019462,EM_hubs,541,0
357,7019463,EM_hubs,1045,0
358,7019464,EM_hubs,1212,0
359,7019465,EM_hubs,1581,0
360,7019466,EM_hubs,1282,0
361,7019501,EM_hubs,777,0
362,7022192,supermarket,25752,0
363,7019467,EM_hubs,2805,0
364,7019468,EM_hubs,1397,0
365,7019469,EM_hubs,1732,0
366,7019470,EM_hubs,2139,0
367,7019471,EM_hubs,2493,0
368,7019472,EM_hubs,3003,0
369,7019473,EM_hubs,2297,0
370,7019474,EM_hubs,4507,0
371,7019475,EM_hubs,4816,0
372,7019476,EM_hubs,5188,0
373,7019477,EM_hubs,4676,0
374,7019478,EM_hubs,3928,0
375,7021629,EM_hubs,550,0
376,7019479,EM_hubs,6792,0
377,7019480,EM_hubs,2603,0
378,7019481,EM_hubs,2406,0
379,7019482,EM_hubs,2875,0
380,7019483,EM_hubs,2327,0
381,7019484,EM_hubs,2009,0
382,7019485,EM_hubs,2147,0
383,7019486,EM_hubs,1319,0
384,7019487,EM_hubs,1682,0
385,7019488,EM_hubs,1447,0
386,7019489,EM_hubs,1610,0
387,7019490,EM_hubs,1643,0
388,7019491,EM_hubs,1548,0
389,7019492,EM_hubs,2128,0
390,7019502,EM_hubs,386,0
391,7022193,supermarket,35200,0
392,7022194,supermarket,53270,0
393,7019493,EM_hubs,5348,0
394,7019494,EM_hubs,276,0
395,7019495,EM_hubs,549,0
396,7019496,EM_hubs,1221,0
397,7019497,EM_hubs,709,0
398,7019498,EM_hubs,1917,0
399,7019499,EM_hubs,602,0
400,7019500,EM_hubs,423,0
401,7022195,supermarket,43892,0
402,7022196,supermarket,46201,0
403,7019503,EM_hubs,516,0
404,7019504,EM_hubs,843,0
405,7019505,EM_hubs,5444,0
406,7019512,EM_hubs,1306,0
407,7019513,EM_hubs,1603,0
408,7019514,EM_hubs,441,0
409,7019515,EM_hubs,1452,0
410,7022197,supermarket,63149,0
411,7019506,EM_hubs,4792,0
412,7019507,EM_hubs,501,0
413,7019508,EM_hubs,73,0
414,7019509,EM_hubs,359,0
415,7019510,EM_hubs,824,0
416,7019511,EM_hubs,1185,0
417,7022167,supermarket,14736,2
418,7019516,EM_hubs,640,0
419,7019517,EM_hubs,1442,0
420,7019518,EM_hubs,957,0
421,7019520,EM_hubs,4732,0
422,7022188,supermarket,84560,2
423,7022189,supermarket,88459,2
424,7019519,EM_hubs,4537,0
425,7019523,EM_hubs,2157,0
426,7019548,EM_hubs,977,0
427,7019549,EM_hubs,815,0
428,7019762,EM_hubs,602,0
429,7019521,EM_hubs,4206,0
430,7019522,EM_hubs,3718,0
431,7019540,EM_hubs,3415,0
432,7019865,EM_hubs,1207,0
433,7019524,EM_hubs,3822,0
434,7019525,EM_hubs,8344,0
435,7019541,EM_hubs,2390,0
436,7019542,EM_hubs,1684,0
437,7019526,EM_hubs,9814,0
438,7019527,EM_hubs,7270,0
439,7019543,EM_hubs,1574,0
440,7019544,EM_hubs,1767,0
441,7019545,EM_hubs,1487,0
442,7019546,EM_hubs,1234,0
443,7019547,EM_hubs,939,0
444,7022190,supermarket,96520,2
445,7019528,EM_hubs,2054,0
446,7019532,EM_hubs,1806,0
447,7019533,EM_hubs,1428,0
448,7019534,EM_hubs,1557,0
449,7019536,EM_hubs,2934,0
450,7019537,EM_hubs,2982,0
451,7019538,EM_hubs,2808,0
452,7019539,EM_hubs,3214,0
453,7019550,EM_hubs,651,0
454,7019551,EM_hubs,1250,0
455,7019552,EM_hubs,423,0
456,7019553,EM_hubs,1082,0
457,7019554,EM_hubs,1079,0
458,7019555,EM_hubs,48,0
459,7019556,EM_hubs,512,0
460,7019557,EM_hubs,840,0
461,7019558,EM_hubs,645,0
462,7019559,EM_hubs,809,0
463,7019560,EM_hubs,1230,0
464,7019561,EM_hubs,583,0
465,7019562,EM_hubs,581,0
466,7019563,EM_hubs,820,0
467,7019882,EM_hubs,1518,0
468,7019564,EM_hubs,524,0
469,7019565,EM_hubs,1039,0
470,7019566,EM_hubs,738,0
471,7019567,EM_hubs,924,0
472,7019568,EM_hubs,951,0
473,7019569,EM_hubs,1002,0
474,7019570,EM_hubs,2357,0
475,7019572,EM_hubs,2102,0
476,7019573,EM_hubs,2197,0
477,7019574,EM_hubs,2455,0
478,7019575,EM_hubs,2295,0
479,7019576,EM_hubs,2882,0
480,7019577,EM_hubs,2988,0
481,7020234,EM_hubs,1048,0
482,7019578,EM_hubs,3448,0
483,7019579,EM_hubs,3264,0
484,7019580,EM_hubs,2550,0
485,7019581,EM_hubs,3307,0
486,7019582,EM_hubs,3492,0
487,7019583,EM_hubs,2066,0
488,7019604,EM_hubs,971,0
489,7019605,EM_hubs,1509,0
490,7020254,EM_hubs,552,0
491,7022191,supermarket,94320,2
492,7019584,EM_hubs,2682,0
493,7019586,EM_hubs,1716,0
