region1,region,service,time,elos_achievable,elos,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Karori,Karori,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Newtown,Newtown,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Miramar,Miramar,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,power,0,1,Full service,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,power,0,1,Full service,,,,,,,,,,,,,,,,,,
